hw(rs1),HW
12,202
26,181
6,160
8,157
1,59
21,199
19,114
19,158
18,196
24,206
12,192
19,169
23,208
10,181
18,215
20,173
23,184
13,188
2,59
3,71
21,188
24,135
18,145
23,206
4,62
14,185
5,109
13,199
20,172
25,210
23,208
25,155
15,200
9,135
23,151
22,192
25,188
16,167
1,44
18,213
3,95
16,180
23,199
2,62
15,107
7,131
19,208
25,178
26,242
18,114
25,123
17,172
24,171
5,98
16,155
14,179
22,207
11,200
20,189
14,186
21,180
10,175
8,160
15,164
1,37
24,130
18,175
8,154
14,194
22,213
16,148
23,196
30,261
25,214
22,222
7,157
20,121
6,124
19,207
18,182
23,204
0,14
12,174
24,215
24,183
13,147
13,192
12,189
19,204
3,77
23,210
27,209
20,221
9,169
18,206
12,191
23,211
25,125
21,196
18,160
13,183
22,172
13,162
9,174
12,199
15,177
9,189
4,138
9,161
10,179
22,179
22,213
9,174
1,48
25,185
5,124
19,174
27,190
26,227
3,73
0,18
15,155
16,157
3,73
13,179
25,193
15,205
21,219
25,231
23,160
13,147
14,192
16,180
14,149
2,63
22,110
5,117
23,202
10,189
24,198
23,120
19,200
26,186
23,206
1,26
25,219
2,98
24,195
25,229
15,174
19,201
9,137
1,48
20,222
23,205
15,171
7,139
11,152
11,200
9,92
25,219
25,202
24,191
10,153
3,45
15,149
13,182
1,36
27,147
11,194
26,237
15,201
26,227
4,54
15,203
21,213
7,138
6,161
24,216
23,206
24,204
19,154
9,185
26,136
0,16
4,149
18,163
27,235
20,189
22,195
23,124
17,221
21,190
5,149
17,114
10,164
11,176
20,209
3,95
6,138
11,199
3,84
19,182
11,189
14,203
14,169
17,220
16,163
9,82
10,193
19,215
20,153
21,161
17,116
25,170
16,101
26,239
11,147
23,167
10,176
13,112
5,103
8,80
27,230
5,148
18,210
13,188
21,189
22,159
23,212
24,204
13,94
15,175
24,186
22,178
0,20
9,170
12,167
2,69
27,207
18,208
26,236
23,191
19,163
24,117
15,213
7,139
19,204
10,87
1,44
15,202
13,197
2,88
26,237
16,175
5,142
9,181
17,212
6,140
0,16
4,122
9,135
2,89
2,81
19,199
9,82
14,189
19,188
10,141
14,197
6,148
13,200
24,218
18,194
25,180
8,117
21,206
6,73
24,226
21,179
9,141
13,187
21,225
7,160
14,157
22,179
6,132
16,202
27,252
21,151
14,205
9,139
27,223
22,207
4,136
14,180
26,208
2,92
6,143
7,146
12,188
10,161
22,213
13,206
3,124
23,219
7,77
25,190
13,108
5,100
8,115
24,198
23,208
12,199
23,173
8,85
26,127
10,160
18,186
23,196
3,81
23,199
8,182
17,190
25,178
8,189
25,234
11,169
19,198
23,200
18,145
2,84
6,162
7,146
22,213
12,158
21,184
25,229
2,60
22,190
27,228
15,146
3,98
23,183
25,205
21,192
13,159
21,203
18,182
18,165
11,157
2,79
21,223
20,207
22,182
27,226
25,206
6,108
8,185
6,154
25,212
26,230
15,185
12,208
9,174
4,143
21,110
20,182
26,223
27,237
4,89
8,163
7,181
18,113
12,161
24,204
18,188
19,182
16,189
2,80
2,86
6,133
24,131
19,201
21,191
5,139
9,160
22,167
22,216
8,151
24,201
19,217
19,207
23,214
24,211
10,167
19,204
23,205
25,216
5,92
9,199
7,137
14,157
10,175
8,174
25,216
15,191
12,191
22,170
13,159
19,224
22,205
21,182
19,188
2,89
23,188
23,207
0,16
19,201
21,165
23,168
7,155
25,241
15,190
11,172
22,172
13,184
5,137
14,199
0,18
26,219
23,219
14,99
11,184
14,152
19,193
24,140
5,132
18,151
22,195
16,105
22,198
16,163
9,93
22,169
24,217
9,123
27,236
18,148
4,125
1,35
20,217
4,104
7,156
17,187
22,195
0,14
16,181
19,204
10,153
20,197
3,81
19,178
9,169
18,200
14,210
22,178
13,168
11,182
23,150
12,210
17,182
12,176
23,154
11,100
12,99
16,141
5,129
17,208
19,203
25,132
0,14
19,200
2,69
9,169
20,151
12,190
26,223
1,48
17,165
1,37
3,112
2,86
2,51
6,134
21,118
19,208
11,193
23,180
23,218
7,106
24,185
9,156
2,49
15,106
24,173
6,144
7,169
13,158
24,199
21,208
19,199
22,156
5,95
22,218
24,163
24,207
12,156
1,48
9,180
19,211
19,105
8,170
16,199
19,166
19,183
18,162
22,205
14,176
11,199
2,68
5,140
23,164
15,187
18,166
26,221
24,195
18,188
26,219
0,16
12,195
21,186
19,197
13,153
22,186
12,130
23,181
9,180
8,142
14,146
10,149
24,205
22,184
22,185
19,112
22,160
22,168
9,138
18,200
0,14
22,190
28,231
25,220
7,158
25,200
7,149
26,221
10,162
17,203
5,160
13,201
21,184
21,189
25,222
24,206
18,184
13,186
4,126
24,159
8,147
15,142
24,123
22,174
19,189
19,182
20,185
0,14
24,202
27,234
21,207
26,225
13,172
0,16
19,190
23,118
7,149
23,210
20,205
8,147
21,200
3,96
10,166
2,58
23,211
13,164
8,178
11,140
21,198
20,205
23,152
8,114
12,188
18,175
19,146
18,104
22,186
10,164
21,210
21,160
13,160
16,202
4,108
18,207
22,197
10,138
11,158
25,198
26,141
21,164
23,207
7,161
6,72
0,16
2,60
9,168
21,211
23,131
1,59
13,150
24,200
13,172
13,103
14,168
20,208
26,179
0,12
14,193
4,115
2,67
10,177
4,118
12,179
1,36
24,193
24,169
20,215
22,205
15,155
3,97
10,164
9,85
20,210
10,176
9,181
26,240
19,190
5,115
2,74
22,216
22,192
6,164
6,146
24,184
14,195
27,233
7,137
14,199
20,191
24,225
20,208
0,18
9,185
21,211
11,143
11,146
22,218
17,198
23,160
9,174
0,14
16,182
19,181
20,210
1,70
11,194
21,110
23,171
20,165
21,144
18,190
21,116
7,126
24,216
18,208
24,224
4,97
20,220
15,150
25,190
26,232
27,212
21,198
1,44
14,199
12,134
17,194
3,113
4,91
24,178
11,177
6,111
21,179
14,186
26,207
12,199
17,168
2,64
16,200
24,212
23,144
23,133
21,123
4,132
1,48
14,106
26,137
15,195
15,162
1,59
22,211
8,185
1,35
24,166
5,148
22,193
24,225
21,209
8,111
9,175
12,186
5,151
19,207
24,181
9,160
22,205
23,235
26,201
19,182
19,201
3,75
6,113
0,18
21,160
16,209
20,191
26,222
21,112
25,201
0,16
8,160
25,227
21,202
22,219
1,48
4,91
22,171
20,182
8,141
13,211
15,107
19,183
2,71
22,175
3,77
25,221
9,118
22,123
19,157
12,197
22,191
15,184
20,224
22,167
12,171
0,18
3,106
12,172
4,106
24,198
9,177
20,178
9,169
21,188
15,143
6,175
15,190
2,69
22,197
2,70
10,170
21,214
24,174
2,91
15,172
4,83
28,252
7,162
11,143
20,184
1,26
5,152
13,158
0,14
21,202
23,193
